Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Personal income category,"$75,000 to $99,999",2018,gs1datot,880.1043616436797,11.487262655463127,681.9521994612414,1078.256523826118,1478,Total amount of donations,Average total amount of donations,CA,NA
Personal income category,"$100,000 to $124,999",2018,gs1datot,828.8323496018177,10.328423892221931,661.049008608167,996.6156905954683,643,Total amount of donations,Average total amount of donations,CA,NA
Personal income category,"$125,000 and more",2018,gs1datot,1424.5863393874254,8.555643806473515,1185.7009645321184,1663.4717142427323,792,Total amount of donations,Average total amount of donations,CA,NA
Frequency of religious attendance,At least once a week,2018,gs1datot,1488.3914999375672,5.014199649816344,1342.117581904106,1634.6654179710285,2135,Total amount of donations,Average total amount of donations,CA,NA
Frequency of religious attendance,At least once a month,2018,gs1datot,741.0538418011225,8.334982452334414,619.9933193116207,862.1143642906244,1040,Total amount of donations,Average total amount of donations,CA,NA
Frequency of religious attendance,At least 3 times a year,2018,gs1datot,503.91404490824635,9.13866375863624,413.65572347101215,594.1723663454806,1069,Total amount of donations,Average total amount of donations,CA,NA
Frequency of religious attendance,Once or twice a year,2018,gs1datot,367.71652493721547,9.699585168463427,297.81053357080896,437.622516303622,1639,Total amount of donations,Average total amount of donations,CA,NA
Frequency of religious attendance,Not at all,2018,gs1datot,296.95498272017113,3.7790936133377806,274.95986159163624,318.950103848706,5277,Total amount of donations,Average total amount of donations,CA,NA
Immigration status,Native-born,2018,gs1datot,550.8575451479873,3.448388580870574,513.626640267028,588.0884500289465,9211,Total amount of donations,Average total amount of donations,CA,NA
Immigration status,Naturalized,2018,gs1datot,638.7809186067826,6.724599166440311,554.589771264397,722.9720659491683,1755,Total amount of donations,Average total amount of donations,CA,NA
Immigration status,Non-Canadian,2018,gs1datot,404.6785506927572,18.86782489556046,255.02738156282007,554.3297198226943,201,Total amount of donations,Average total amount of donations,CA,*
Immigration status,Unknown,2018,gs1datot,601.6173001176169,13.311781421551913,444.651663678659,758.5829365565747,987,Total amount of donations,Average total amount of donations,CA,NA
Age group,15 to 24 years,2018,gs1datot,336.40858227336156,36.82616387155694,93.59574755766619,579.2214169890569,42,Total amount of donations,Average total amount of donations,AB,...
Age group,25 to 34 years,2018,gs1datot,1101.766726113635,31.98529750417705,411.06882238994126,1792.4646298373289,132,Total amount of donations,Average total amount of donations,AB,*
Age group,35 to 44 years,2018,gs1datot,938.504389029735,20.36648960154981,563.8760913875262,1313.1326866719437,183,Total amount of donations,Average total amount of donations,AB,*
Age group,45 to 54 years,2018,gs1datot,814.494529079472,19.52442772529589,502.8104809652829,1126.178577193661,173,Total amount of donations,Average total amount of donations,AB,*
Age group,55 to 64 years,2018,gs1datot,1088.0775777830097,14.603903886464334,776.6357655121393,1399.5193900538802,252,Total amount of donations,Average total amount of donations,AB,NA
