Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,35 to 44 years,2018,gs1dntot,4.086757653569023,4.002173289374781,3.766187662729341,4.4073276444087055,461,Total number of donations,Average total number of donations,AT,NA
Age group,45 to 54 years,2018,gs1dntot,4.2586472192952,4.062610436000169,3.919549447538334,4.597744991052066,548,Total number of donations,Average total number of donations,AT,NA
Age group,55 to 64 years,2018,gs1dntot,4.7492824333944155,3.1565624861496886,4.455456260017017,5.043108606771814,755,Total number of donations,Average total number of donations,AT,NA
Age group,65 to 74 years,2018,gs1dntot,4.97077976261423,2.9785235765700095,4.680595634462746,5.260963890765714,700,Total number of donations,Average total number of donations,AT,NA
Age group,75 years and over,2018,gs1dntot,4.843573487461509,4.481003728444636,4.418181515498767,5.26896545942425,380,Total number of donations,Average total number of donations,AT,NA
Age group,15 to 24 years,2018,gs1dntot,2.20874092201222,11.036438011736314,1.7309677088808972,2.686514135143543,49,Total number of donations,Average total number of donations,BC,NA
Age group,25 to 34 years,2018,gs1dntot,2.769907232926455,6.239999824979544,2.4311427332040747,3.108671732648835,162,Total number of donations,Average total number of donations,BC,NA
Age group,35 to 44 years,2018,gs1dntot,3.5272246523831736,5.663216969178942,3.135713251921767,3.9187360528445803,228,Total number of donations,Average total number of donations,BC,NA
Age group,45 to 54 years,2018,gs1dntot,3.6253991883518104,6.681304727938215,3.1506489360985586,4.100149440605063,247,Total number of donations,Average total number of donations,BC,NA
Age group,55 to 64 years,2018,gs1dntot,3.7118337385675324,5.748847967775009,3.293601574067138,4.130065903067926,314,Total number of donations,Average total number of donations,BC,NA
Age group,65 to 74 years,2018,gs1dntot,3.7625424149323208,6.135991889989234,3.310046906818457,4.215037923046184,333,Total number of donations,Average total number of donations,BC,NA
Age group,75 years and over,2018,gs1dntot,4.487202180545193,7.294380353112966,3.8456793241410328,5.128725036949353,199,Total number of donations,Average total number of donations,BC,NA
Age group,15 to 24 years,2018,gs1dntot,2.394930615504426,9.102316959183927,1.9676698825364602,2.822191348472392,99,Total number of donations,Average total number of donations,ON,NA
Age group,25 to 34 years,2018,gs1dntot,2.9658861675296566,4.304426903559659,2.71566853725858,3.2161037978007334,375,Total number of donations,Average total number of donations,ON,NA
Age group,35 to 44 years,2018,gs1dntot,3.577998600941653,3.763754418031959,3.31405597341517,3.841941228468136,510,Total number of donations,Average total number of donations,ON,NA
Age group,45 to 54 years,2018,gs1dntot,3.9337032829892666,3.1486382323028375,3.6909458961886226,4.17646066978991,552,Total number of donations,Average total number of donations,ON,NA
Age group,55 to 64 years,2018,gs1dntot,4.353278891722749,3.6860461265043005,4.038775489692778,4.667782293752721,687,Total number of donations,Average total number of donations,ON,NA
Age group,65 to 74 years,2018,gs1dntot,4.538708164848682,4.012044598654771,4.181808531361741,4.895607798335623,648,Total number of donations,Average total number of donations,ON,NA
Age group,75 years and over,2018,gs1dntot,3.9902722072986694,4.392910682666174,3.646711896054726,4.333832518542613,418,Total number of donations,Average total number of donations,ON,NA
Age group,15 to 24 years,2018,gs1dntot,2.151138629468176,10.981061804749203,1.6881601266439767,2.6141171322923746,65,Total number of donations,Average total number of donations,PR,NA
Age group,25 to 34 years,2018,gs1dntot,3.2642667151571185,5.107756213775632,2.937480379526874,3.5910530507873633,209,Total number of donations,Average total number of donations,PR,NA
Age group,35 to 44 years,2018,gs1dntot,4.000420045228369,6.662939959655987,3.478000296924922,4.522839793531816,234,Total number of donations,Average total number of donations,PR,NA
Age group,45 to 54 years,2018,gs1dntot,4.099898264686402,5.4444486663470295,3.6624012654132776,4.537395263959527,230,Total number of donations,Average total number of donations,PR,NA
Age group,55 to 64 years,2018,gs1dntot,4.56590003658354,4.825197996187821,4.134093085819983,4.9977069873470965,339,Total number of donations,Average total number of donations,PR,NA
Age group,65 to 74 years,2018,gs1dntot,4.622090280790507,5.035377207808997,4.1659288891915205,5.078251672389494,319,Total number of donations,Average total number of donations,PR,NA
Age group,75 years and over,2018,gs1dntot,4.468779322738125,6.230063535102948,3.9231100792645206,5.014448566211729,203,Total number of donations,Average total number of donations,PR,NA
Age group,15 to 24 years,2018,gs1dntot,2.7779114059362744,16.9594032945015,1.8545386643853556,3.7012841474871934,44,Total number of donations,Average total number of donations,QC,*
Age group,25 to 34 years,2018,gs1dntot,2.7496764425287217,5.08528436538356,2.4756169007177786,3.0237359843396647,154,Total number of donations,Average total number of donations,QC,NA
Age group,35 to 44 years,2018,gs1dntot,3.07923594930485,4.284043103541237,2.8206857414700974,3.3377861571396026,254,Total number of donations,Average total number of donations,QC,NA
Age group,45 to 54 years,2018,gs1dntot,3.8229582781203475,7.2589124137545795,3.2790580942721648,4.366858461968531,204,Total number of donations,Average total number of donations,QC,NA
Age group,55 to 64 years,2018,gs1dntot,3.817827739122277,4.426463287760503,3.486604128751803,4.149051349492751,354,Total number of donations,Average total number of donations,QC,NA
Age group,65 to 74 years,2018,gs1dntot,3.9307897383676464,4.764115946915778,3.5637524165885055,4.297827060146787,300,Total number of donations,Average total number of donations,QC,NA
Age group,75 years and over,2018,gs1dntot,3.9823985950405727,6.341103835147449,3.4874527510734112,4.477344439007735,199,Total number of donations,Average total number of donations,QC,NA
Gender,Male gender,2018,gs1dntot,3.193437848462019,3.944870727827301,2.9465274755865742,3.440348221337464,455,Total number of donations,Average total number of donations,AB,NA
Gender,Female gender,2018,gs1dntot,3.770593229826373,4.1374870064778175,3.4648235508148746,4.076362908837871,558,Total number of donations,Average total number of donations,AB,NA
Gender,Male gender,2018,gs1dntot,3.924466718408681,2.2916329757211082,3.748198585493609,4.100734851323754,1334,Total number of donations,Average total number of donations,AT,NA
Gender,Female gender,2018,gs1dntot,4.4605176234280925,2.183239193734017,4.269648943513058,4.651386303343127,1878,Total number of donations,Average total number of donations,AT,NA
Gender,Male gender,2018,gs1dntot,3.3061345943566582,3.735890753595511,3.0640524325954237,3.548216756117893,609,Total number of donations,Average total number of donations,BC,NA
Gender,Female gender,2018,gs1dntot,3.5985424198736364,3.336224451907911,3.363238057562722,3.8338467821845508,923,Total number of donations,Average total number of donations,BC,NA
Gender,Male gender,2018,gs1dntot,3.515487664277374,2.3837071823553333,3.3512447757159878,3.67973055283876,1400,Total number of donations,Average total number of donations,ON,NA
Gender,Female gender,2018,gs1dntot,3.9001091869618922,2.138472689075143,3.736642761928718,4.063575611995066,1889,Total number of donations,Average total number of donations,ON,NA
Gender,Male gender,2018,gs1dntot,3.6932766306065887,3.679543616161298,3.4269259049558336,3.959627356257344,678,Total number of donations,Average total number of donations,PR,NA
Gender,Female gender,2018,gs1dntot,4.133209835755393,3.0797117325095544,3.8837241616450853,4.382695509865701,921,Total number of donations,Average total number of donations,PR,NA
Gender,Male gender,2018,gs1dntot,3.402126940840794,3.502495224682151,3.1685789384834777,3.6356749431981106,673,Total number of donations,Average total number of donations,QC,NA
Gender,Female gender,2018,gs1dntot,3.5279146395729173,3.4515686340453113,3.2892529706523077,3.766576308493527,836,Total number of donations,Average total number of donations,QC,NA
Education,Less than High School,2018,gs1dntot,2.1390055817928286,10.201621778864826,1.7113154526484375,2.5666957109372195,60,Total number of donations,Average total number of donations,AB,NA
Education,Graduated from High school,2018,gs1dntot,3.245461754388349,5.6034327188600015,2.8890280630473923,3.6018954457293053,202,Total number of donations,Average total number of donations,AB,NA
Education,Post-secondary diploma,2018,gs1dntot,3.6428921838373847,6.381495212864014,3.1872574153571205,4.098526952317649,361,Total number of donations,Average total number of donations,AB,NA
Education,University Diploma,2018,gs1dntot,3.9491857742152945,4.552112781354306,3.596840323605143,4.301531224825446,302,Total number of donations,Average total number of donations,AB,NA
Education,Less than High School,2018,gs1dntot,3.3677693524815213,5.446983419575957,3.00822995627481,3.7273087486882326,269,Total number of donations,Average total number of donations,AT,NA
Education,Graduated from High school,2018,gs1dntot,3.733432929203008,3.6849580244117663,3.463790028876657,4.003075829529359,670,Total number of donations,Average total number of donations,AT,NA
Education,Post-secondary diploma,2018,gs1dntot,4.308160495032617,2.7693854006062635,4.074318039164702,4.542002950900532,1045,Total number of donations,Average total number of donations,AT,NA
Education,University Diploma,2018,gs1dntot,4.9271511812735564,3.096141030159166,4.6281556387786615,5.226146723768451,843,Total number of donations,Average total number of donations,AT,NA
Education,Less than High School,2018,gs1dntot,3.0197369108404106,12.497807846237393,2.2800447066136758,3.7594291150671455,98,Total number of donations,Average total number of donations,BC,NA
Education,Graduated from High school,2018,gs1dntot,2.985927497866209,6.205908541150476,2.62273846961209,3.3491165261203277,289,Total number of donations,Average total number of donations,BC,NA
Education,Post-secondary diploma,2018,gs1dntot,3.4841479488194063,4.406558153296903,3.183232707506394,3.7850631901324183,469,Total number of donations,Average total number of donations,BC,NA
Education,University Diploma,2018,gs1dntot,3.8165159536779014,4.134648923860023,3.5072345467176915,4.125797360638111,569,Total number of donations,Average total number of donations,BC,NA
Education,Less than High School,2018,gs1dntot,3.2256285628638866,8.691106067576673,2.676166772039445,3.775090353688328,239,Total number of donations,Average total number of donations,ON,NA
Education,Graduated from High school,2018,gs1dntot,3.2807319579205543,3.628796752551506,3.0473960998925653,3.5140678159485432,609,Total number of donations,Average total number of donations,ON,NA
Education,Post-secondary diploma,2018,gs1dntot,3.754256567123663,2.824603280071504,3.54641639219677,3.962096742050556,1011,Total number of donations,Average total number of donations,ON,NA
Education,University Diploma,2018,gs1dntot,4.0466547939348345,2.516286459177952,3.8470806250306717,4.246228962838997,1212,Total number of donations,Average total number of donations,ON,NA
Education,Less than High School,2018,gs1dntot,2.693685885062054,7.549033945533582,2.2951325754824317,3.0922391946416767,132,Total number of donations,Average total number of donations,PR,NA
Education,Graduated from High school,2018,gs1dntot,3.3315543567069277,4.81638261303812,3.01705774239273,3.6460509710211255,385,Total number of donations,Average total number of donations,PR,NA
Education,Post-secondary diploma,2018,gs1dntot,3.81426694872992,4.638134243378316,3.467528110148034,4.161005787311806,497,Total number of donations,Average total number of donations,PR,NA
Education,University Diploma,2018,gs1dntot,4.582708999564342,3.8634852927938015,4.235692891292912,4.929725107835772,395,Total number of donations,Average total number of donations,PR,NA
Education,Less than High School,2018,gs1dntot,3.140723055119183,6.905163164729055,2.7156616449097113,3.5657844653286546,166,Total number of donations,Average total number of donations,QC,NA
Education,Graduated from High school,2018,gs1dntot,3.4226297697640793,5.9485838284984345,3.0235850204923533,3.8216745190358052,283,Total number of donations,Average total number of donations,QC,NA
Education,Post-secondary diploma,2018,gs1dntot,3.3864063202773225,3.6542981189623513,3.1438619875421097,3.6289506530125353,502,Total number of donations,Average total number of donations,QC,NA
Education,University Diploma,2018,gs1dntot,3.711995291599204,3.953170932998857,3.424387199515,3.9996033836834077,446,Total number of donations,Average total number of donations,QC,NA
Marital status,Married,2018,gs1dntot,3.814855659986519,3.8863167275906276,3.5242765471949333,4.105434772778104,600,Total number of donations,Average total number of donations,AB,NA
Marital status,Living common-law,2018,gs1dntot,2.836290023912152,10.048128428901718,2.277711922235569,3.3948681255887347,64,Total number of donations,Average total number of donations,AB,NA
Marital status,Widowed,2018,gs1dntot,4.155612601250428,11.026857202905651,3.257491508545679,5.053733693955177,66,Total number of donations,Average total number of donations,AB,NA
Marital status,Separated,2018,gs1dntot,3.7076628185529805,16.333415145008892,2.5207322268323735,4.894593410273588,29,Total number of donations,Average total number of donations,AB,NA
Marital status,Divorced,2018,gs1dntot,3.5142151387658584,8.53459978146284,2.926374513469422,4.102055764062294,89,Total number of donations,Average total number of donations,AB,NA
Marital status,"Single, never married",2018,gs1dntot,2.7084642856988257,7.249934909278051,2.3236020381646423,3.093326533233009,165,Total number of donations,Average total number of donations,AB,NA
Marital status,Married,2018,gs1dntot,4.657409098872056,1.8973198347892553,4.484215026036716,4.830603171707396,1772,Total number of donations,Average total number of donations,AT,NA
Marital status,Living common-law,2018,gs1dntot,3.481466733539841,5.478793015083318,3.107618585023056,3.855314882056626,256,Total number of donations,Average total number of donations,AT,NA
Marital status,Widowed,2018,gs1dntot,4.647936538394647,5.402276939713114,4.155800550254149,5.140072526535144,349,Total number of donations,Average total number of donations,AT,NA
Marital status,Separated,2018,gs1dntot,3.9837449628894035,8.40847547330768,3.3272114795454844,4.640278446233323,95,Total number of donations,Average total number of donations,AT,NA
Marital status,Divorced,2018,gs1dntot,4.488573901800076,5.342767885113062,4.018546932361763,4.9586008712383896,241,Total number of donations,Average total number of donations,AT,NA
